ID,Name,Date,Temperature,Humidity,Rain
1,Tram_Ha_Noi,2025-01-01,22.9,67.8,4.3
1,Tram_Ha_Noi,2025-01-02,26.5,63.4,0.9
1,Tram_Ha_Noi,2025-01-03,21.9,87.8,9.7
1,Tram_Ha_Noi,2025-01-04,21.6,51.1,2.7
1,Tram_Ha_Noi,2025-01-05,25.7,68.3,11.3
1,Tram_Ha_Noi,2025-01-06,32.2,81.9,5.7
1,Tram_Ha_Noi,2025-01-07,30.5,62.0,10.8
1,Tram_Ha_Noi,2025-01-08,20.4,73.0,7.2
1,Tram_Ha_Noi,2025-01-09,22.4,66.7,10.3
1,Tram_Ha_Noi,2025-01-10,30.1,53.0,3.9
1,Tram_Ha_Noi,2025-01-11,39.9,80.7,1.8
1,Tram_Ha_Noi,2025-01-12,37.5,80.4,4.6
1,Tram_Ha_Noi,2025-01-13,38.3,85.8,19.0
1,Tram_Ha_Noi,2025-01-14,38.0,85.9,3.4
1,Tram_Ha_Noi,2025-01-15,38.0,78.5,15.9
1,Tram_Ha_Noi,2025-01-16,33.5,62.7,5.8
1,Tram_Ha_Noi,2025-01-17,34.4,53.6,9.0
1,Tram_Ha_Noi,2025-01-18,27.5,86.5,17.5
1,Tram_Ha_Noi,2025-01-19,25.6,74.6,15.3
1,Tram_Ha_Noi,2025-01-20,24.9,67.8,0.7
1,Tram_Ha_Noi,2025-01-21,18.2,51.0,18.5
1,Tram_Ha_Noi,2025-01-22,22.0,71.8,15.7
1,Tram_Ha_Noi,2025-01-23,31.6,81.5,17.8
1,Tram_Ha_Noi,2025-01-24,33.4,78.1,18.1
1,Tram_Ha_Noi,2025-01-25,34.7,61.7,19.6
1,Tram_Ha_Noi,2025-01-26,34.8,64.9,13.6
1,Tram_Ha_Noi,2025-01-27,32.9,78.1,12.5
1,Tram_Ha_Noi,2025-01-28,16.2,76.5,12.0
1,Tram_Ha_Noi,2025-01-29,17.3,85.0,4.3
1,Tram_Ha_Noi,2025-01-30,30.8,87.2,6.2
2,Tram_Sapa,2025-01-01,NA,NA,NA
2,Tram_Sapa,2025-01-02,-5.5,80.0,0.0
2,Tram_Sapa,2025-01-03,10.0,NA,15.0
3,Tram_Hue,2025-01-01,25.0,80.0,5.0
3,Tram_Hue,2025-01-02,25.0,80.0,7.5
3,Tram_Hue,2025-01-03,25.0,80.0,10.0
3,Tram_Hue,2025-01-04,25.0,80.0,12.5
3,Tram_Hue,2025-01-05,25.0,80.0,15.0
3,Tram_Hue,2025-01-06,25.0,80.0,NA
3,Tram_Hue,2025-01-07,25.0,80.0,20.0
3,Tram_Hue,2025-01-08,25.0,80.0,22.5
3,Tram_Hue,2025-01-09,25.0,80.0,25.0
3,Tram_Hue,2025-01-10,25.0,80.0,27.5
4,Tram_Da_Lat,2025-01-01,26.3,78.8,29.1
4,Tram_Da_Lat,2025-01-02,10.4,75.7,5.2
4,Tram_Da_Lat,2025-01-03,22.9,89.7,1.6
4,Tram_Da_Lat,2025-01-04,13.5,68.3,19.6
4,Tram_Da_Lat,2025-01-05,NA,93.3,15.2
4,Tram_Da_Lat,2025-01-06,10.8,71.2,50.0
4,Tram_Da_Lat,2025-01-07,24.9,84.5,18.7
4,Tram_Da_Lat,2025-01-08,NA,81.6,35.0
4,Tram_Da_Lat,2025-01-09,27.9,92.5,14.7
4,Tram_Da_Lat,2025-01-10,16.4,84.8,4.4
4,Tram_Da_Lat,2025-01-11,24.0,66.0,28.7
4,Tram_Da_Lat,2025-01-12,15.0,76.9,42.6
4,Tram_Da_Lat,2025-01-13,19.8,65.1,41.1
4,Tram_Da_Lat,2025-01-14,25.6,67.4,17.1
4,Tram_Da_Lat,2025-01-15,17.2,68.1,2.5
4,Tram_Da_Lat,2025-01-16,11.9,88.6,9.4
4,Tram_Da_Lat,2025-01-17,14.3,76.0,25.5
4,Tram_Da_Lat,2025-01-18,NA,72.5,28.6
4,Tram_Da_Lat,2025-01-19,10.7,60.7,33.9
4,Tram_Da_Lat,2025-01-20,11.7,83.2,3.2
4,Tram_Da_Lat,2025-01-21,11.0,71.5,10.0
4,Tram_Da_Lat,2025-01-22,25.5,63.9,25.6
4,Tram_Da_Lat,2025-01-23,25.8,99.7,20.4
4,Tram_Da_Lat,2025-01-24,16.9,81.2,12.6
4,Tram_Da_Lat,2025-01-25,12.2,79.4,47.9
4,Tram_Da_Lat,2025-01-26,NA,86.7,3.0
4,Tram_Da_Lat,2025-01-27,10.3,66.7,22.1
4,Tram_Da_Lat,2025-01-28,15.2,60.4,13.5
4,Tram_Da_Lat,2025-01-29,NA,69.6,16.9
4,Tram_Da_Lat,2025-01-30,26.6,78.2,7.0
4,Tram_Da_Lat,2025-01-31,27.2,98.9,13.5
4,Tram_Da_Lat,2025-02-01,20.0,84.5,35.9
4,Tram_Da_Lat,2025-02-02,25.0,62.5,3.5
4,Tram_Da_Lat,2025-02-03,20.7,95.2,49.2
4,Tram_Da_Lat,2025-02-04,21.8,88.9,10.4
4,Tram_Da_Lat,2025-02-05,18.1,77.2,14.2
4,Tram_Da_Lat,2025-02-06,27.3,79.3,5.2
4,Tram_Da_Lat,2025-02-07,26.1,61.0,29.9
4,Tram_Da_Lat,2025-02-08,16.7,78.2,12.7
4,Tram_Da_Lat,2025-02-09,14.8,73.5,27.4
4,Tram_Da_Lat,2025-02-10,18.9,67.8,31.4
4,Tram_Da_Lat,2025-02-11,23.1,65.0,24.3
4,Tram_Da_Lat,2025-02-12,23.5,88.7,30.8
4,Tram_Da_Lat,2025-02-13,26.3,88.4,10.7
4,Tram_Da_Lat,2025-02-14,14.8,96.9,8.4
4,Tram_Da_Lat,2025-02-15,11.0,62.1,9.2
4,Tram_Da_Lat,2025-02-16,19.7,93.7,9.5
4,Tram_Da_Lat,2025-02-17,22.9,96.1,5.1
4,Tram_Da_Lat,2025-02-18,25.2,66.3,14.8
4,Tram_Da_Lat,2025-02-19,23.3,71.2,47.6
4,Tram_Da_Lat,2025-02-20,26.9,67.0,46.1
4,Tram_Da_Lat,2025-02-21,18.8,66.2,5.8
4,Tram_Da_Lat,2025-02-22,22.1,62.3,25.5
4,Tram_Da_Lat,2025-02-23,21.5,73.5,43.5
4,Tram_Da_Lat,2025-02-24,21.6,97.5,23.3
4,Tram_Da_Lat,2025-02-25,27.1,82.5,14.9
4,Tram_Da_Lat,2025-02-26,12.9,98.0,36.3
4,Tram_Da_Lat,2025-02-27,NA,87.5,3.9
4,Tram_Da_Lat,2025-02-28,20.8,62.9,41.3
4,Tram_Da_Lat,2025-03-01,17.4,61.8,23.2
4,Tram_Da_Lat,2025-03-02,10.7,70.6,41.6
4,Tram_Da_Lat,2025-03-03,18.4,68.1,29.1
4,Tram_Da_Lat,2025-03-04,15.5,78.7,11.6
4,Tram_Da_Lat,2025-03-05,19.2,69.7,22.3
4,Tram_Da_Lat,2025-03-06,19.7,80.4,15.3
4,Tram_Da_Lat,2025-03-07,14.1,99.1,48.4
4,Tram_Da_Lat,2025-03-08,19.7,88.5,29.8
4,Tram_Da_Lat,2025-03-09,20.2,91.2,21.1
4,Tram_Da_Lat,2025-03-10,15.6,66.4,1.3
4,Tram_Da_Lat,2025-03-11,21.6,78.1,47.5
4,Tram_Da_Lat,2025-03-12,11.0,87.6,21.2
4,Tram_Da_Lat,2025-03-13,23.5,67.5,33.2
4,Tram_Da_Lat,2025-03-14,14.5,76.0,31.3
4,Tram_Da_Lat,2025-03-15,14.2,80.2,8.8
4,Tram_Da_Lat,2025-03-16,11.3,82.9,24.1
4,Tram_Da_Lat,2025-03-17,20.7,79.1,21.4
4,Tram_Da_Lat,2025-03-18,21.9,75.6,28.7
4,Tram_Da_Lat,2025-03-19,13.4,62.5,32.8
4,Tram_Da_Lat,2025-03-20,10.8,83.6,46.7
4,Tram_Da_Lat,2025-03-21,18.9,71.5,20.9
